index,name,website,contact
25,DITABIS AG,https://ditabis.de,"{'email': None, 'phone': None}"
26,DMB-Apparatebau GmbH,https://www.dmb-apparatebau.de,"{'email': None, 'phone': None}"
27,Dornier MedTech Laser GmbH,https://www.dornier.com,"{'email': None, 'phone': None}"
28,Dornier MedTech Systems GmbH,https://www.dornier.com,"{'email': None, 'phone': None}"
29,Dr. K. Hönle Medizintechnik GmbH,https://www.drhoenle.de,"{'email': 'medizin@drhoenle.de', 'phone': None}"
30,Dr. Mach GmbH + Co.,https://dr-mach.de,"{'email': None, 'phone': None}"
31,Dräger Safety AG & Co. KGaA,https://www.draeger.com,"{'email': None, 'phone': None}"
32,Erka Kallmeyer Medizintechnik GmbH & Co.KG,https://www.erka.org,"{'email': None, 'phone': None}"
33,EsCo Orthopädie Service GmbH,https://esco-orthopaedie.com,"{'email': 'info@esco-orthopaedie.com', 'phone': None}"
34,ESSILOR GmbH,https://www.essilor.de,"{'email': 'info@essilor.de', 'phone': None}"
35,F. & M. Lautenschläger GmbH & Co. KG,https://de-de.facebook.com,"{'email': None, 'phone': None}"
36,Fasciotens GmbH,https://www.fasciotens.de,"{'email': 'info@fasciotens.de', 'phone': '+49 201 99 999 630'}"
37,FISBA AG,https://www.fisba.com,"{'email': None, 'phone': None}"
38,Fisher & Paykel Healthcare GmbH & Co. KG,https://www.fishersci.ch,"{'email': None, 'phone': None}"
39,FMB Care GmbH,https://fmb-care.de,"{'email': None, 'phone': None}"
40,Fritz Stephan GmbH Medizintechnik,https://www.stephan-gmbh.com,"{'email': 'info@stephan-gmbh.com', 'phone': None}"
41,Gebr. Brasseler GmbH & Co. KG,https://www.brasseler.de,"{'email': None, 'phone': None}"
42,Gebrüder Martin GmbH & Co. KG,https://www.klsmartin.com,"{'email': 'info@klsmartin.com', 'phone': None}"
43,GETEMED Medizin- und Informationstechnik AG ,https://www.getemed.de,"{'email': None, 'phone': None}"
44,GIMMI GmbH,https://www.gimmi.de,"{'email': 'contact@gimmi.de', 'phone': None}"
45,Greiner GmbH Stahlmöbel,https://www.greiner-gmbh.de,"{'email': 'info@greiner-gmbh.de', 'phone': None}"
46,Gremse-IT GmbH,https://gremse-it.com,"{'email': None, 'phone': None}"
47,GTI medicare,https://www.gti-medicare.de,"{'email': 'info@gti-medicare.de', 'phone': None}"
48,Haag-Streit Surgical GmbH & Co. KG,https://www.haag-streit.com,"{'email': None, 'phone': None}"
49,HÄLSA Pharma GmbH,https://www.haelsa.de,"{'email': 'info@haelsa.com?subject=Kontaktformular%20-%20www.haelsa.com', 'phone': None}"
50,Handicare GmbH,https://handicare-treppenlifte.ch,"{'email': 'info@handicare.de', 'phone': '+49 (0)571 97 33 98 0'}"
51,Hans Müller HMP Medizintechnik GmbH,https://www.hmp-medizintechnik.de,"{'email': 'info@hmp-medizintechnik.de', 'phone': None}"
52,Heidelberg Engineering GmbH,https://www.heidelbergengineering.com,"{'email': None, 'phone': None}"
53,Hemovent GmbH,https://www.hemovent.com,"{'email': None, 'phone': None}"
54,Henke-Sass Wolf GmbH,https://www.henkesasswolf.de,"{'email': None, 'phone': '+49 7462 9466-0'}"
55,Hermann Bock GmbH,https://www.bock.net,"{'email': None, 'phone': '+49 (0)5246 9205-0'}"
56,HEYER Medical AG,https://heyermedical.de,"{'email': 'info@heyermedical.de', 'phone': None}"
57,Hill-Rom GmbH,https://www.hillrom.de,"{'email': None, 'phone': None}"
58,Hittech Prontor GmbH,https://hittech.com,"{'email': None, 'phone': None}"
59,Hoffrichter Medizintechnik GmbH,https://www.spectaris.de,"{'email': 'info@spectaris.de', 'phone': '+49 (0) 30 41 40 21-12'}"
60,HP Labortechnik GmbH,https://www.hp-lab.com,"{'email': 'info@hp-lab.com', 'phone': '+49 (0) 89 30 666 47 – 50'}"
61,"Hu-Friedy Mfg. Co., LLC.",https://www.hufriedygroup.com,"{'email': 'care@hu-friedy.com', 'phone': '1.800.483.7433'}"
62,Insulet Germany GmbH,https://www.omnipod.com,"{'email': None, 'phone': None}"
63,interco GmbH,https://interco.gmbh,"{'email': 'info@interco-reha.de', 'phone': None}"
64,INTERSPIRO GmbH,https://interspiro.de,"{'email': 'info@interspiro.com', 'phone': None}"
65,Intersurgical Beatmungsprodukte GmbH,https://de.intersurgical.com,"{'email': None, 'phone': None}"
66,INVACARE Deutschland GmbH,https://www.invacare.de,"{'email': 'kontakt@invacare.com', 'phone': None}"
67,Invacare GmbH,https://www.invacare.ch,"{'email': 'switzerland@invacare.com', 'phone': None}"
68,IOLution GmbH,https://www.iolution.com,"{'email': None, 'phone': None}"
69,Jabil Optics Germany GmbH,https://www.jabil.com,"{'email': None, 'phone': None}"
70,JENOPTIK AG,https://www.jenoptik.com,"{'email': None, 'phone': None}"
71,Jüke Systemtechnik GmbH,https://www.jueke.de,"{'email': 'info@jueke.de', 'phone': None}"
72,Karl Leibinger Medizintechnik GmbH & Co.KG,https://www.klsmartin.com,"{'email': 'info@klsmartin.com', 'phone': None}"
73,KARL STORZ SE & Co.KG,https://www.karlstorz.com,"{'email': None, 'phone': None}"
74,Kendrion Kuhnke Automation GmbH,https://www.kendrion.com,"{'email': '?subject=No%20subject&body=https%3A%2F%2Fwww.kendrion.com%2Fen%2F404', 'phone': None}"
75,Kögel GmbH,https://www.mk-koegel.de,"{'email': 'info@mk-koegel.de', 'phone': '+ 49 (0) 7045 982-0'}"
76,Königsee Implantate GmbH,https://www.koenigsee-implantate.de,"{'email': 'info@koenigsee-implantate.de', 'phone': None}"
77,Kröber Medizintechnik GmbH,https://kroeber.de,"{'email': 'info@kroeber.de', 'phone': '++49 2607 94040'}"
78,"Landesinnung Chirurgiemechanik Baden Würtemberg, Sitz Tuttlingen",https://medicalmountains.de,"{'email': 'glienke@medicalmountains.de', 'phone': '+49 7461 969721-0'}"
79,LASERVISION GmbH & Co. KG,https://www.uvex-laservision.de,"{'email': 'info@lvg.com', 'phone': None}"
80,Löwenstein Medical GmbH & Co. KG,https://loewensteinmedical.ch,"{'email': 'info@loewensteinmedical.ch', 'phone': '056 416 41 11'}"
81,Löwenstein Medical Technology GmbH+Co.KG,https://loewensteinmedical.ch,"{'email': 'info@loewensteinmedical.ch', 'phone': '056 416 41 11'}"
82,m2 Handels- und Vertriebs GmbH Mühle-Müller Pflegebetten,https://www.muehle-mueller.de,"{'email': 'info@muehle-mueller.de', 'phone': 'Gerne beraten wir Sie unter +49 (0) 6471 - 51 65 00'}"
83,magForce NT,http://www.magforce.de,"{'email': None, 'phone': None}"
84,MAICO Diagnostics GmbH,https://www.maico-diagnostics.com,"{'email': None, 'phone': None}"
85,Matachana Germany GmbH,https://www.matachana.com,"{'email': None, 'phone': None}"
86,MEDICARE Medizinische Geräte GmbH,https://www.medicare-cpap.de,"{'email': 'info@medicare-cpap.de', 'phone': None}"
87,Medicon eG Chirurgiemechaniker-Genossenschaft,https://medicon.de,"{'email': 'info@medicon.de', 'phone': None}"
88,MELAG oHG Medizintechnik,https://www.melag.com,"{'email': 'info@melag.de', 'phone': None}"
89,Memmert GmbH + Co.KG,https://www.memmert.com,"{'email': 'sales@memmert.com', 'phone': None}"
90,Messer Group GmbH,https://www.messergroup.com,"{'email': None, 'phone': None}"
91,Meyer-Haake GmbH,https://www.meyer-haake.com,"{'email': 'sales@meyer-haake.com', 'phone': '+49 (0) 6002 / 99270-0'}"
92,Miele & Cie. KG,https://www.miele.ch,"{'email': 'info@miele.ch?subject=Impressum', 'phone': '0848 – 848 048'}"
93,MMM Münchener Medizin Mechanik GmbH,https://www.mmmgroup.com,"{'email': None, 'phone': None}"
94,MPV MEDICAL GmbH,https://www.mpvmedical.com,"{'email': 'info@mpvmedical.com', 'phone': None}"
95,munevo GmbH,https://munevo.com,"{'email': None, 'phone': None}"
96,Newsenselab GmbH,https://m-sense.de,"{'email': None, 'phone': None}"
97,nova motum® Services & Consulting GmbH,https://www.novamotum.net,"{'email': 'info@novamotum.net', 'phone': None}"
98,nova:med GmbH & Co. KG,https://novamed.de,"{'email': None, 'phone': None}"
99,OBERON GmbH Fiber Technologies,https://www.oberonfiber.com,"{'email': None, 'phone': None}"
100,Oculus Optikgeräte GmbH,https://www.oculus.de,"{'email': None, 'phone': '+49 641 2005-0'}"
101,Ofa Bamberg GmbH,https://www.ofa.de,"{'email': '?subject=Impressum | Ofa Bamberg&body=Hallo, schau dir mal folgenden Link an:https://www.ofa.de/de-de/impressum/', 'phone': None}"
102,OLYMPUS Deutschland GmbH,https://www.olympus.de,"{'email': None, 'phone': None}"
103,OLYMPUS SURGICAL TECHNOLOGIES EUROPE | Olympus Winter & Ibe GmbH,https://www.olympus-oste.eu,"{'email': None, 'phone': None}"
104,OPTOMECH GmbH,https://www.optomech.de,"{'email': 'info@optomech.de', 'phone': None}"
105,Ottobock SE & Co. KGaA,https://www.ottobock.com,"{'email': None, 'phone': None}"
106,PARI GMBH,https://www.pari.com,"{'email': None, 'phone': None}"
107,PENTAX Europe GmbH,https://www.pentaxmedical.com,"{'email': None, 'phone': None}"
108,phenox GmbH,https://phenox.net,"{'email': None, 'phone': None}"
109,Philips GmbH Respironics,http://www.respironics.com,"{'email': None, 'phone': None}"
110,Qioptiq Photonics GmbH & Co.KG,https://www.qioptiq-shop.com,"{'email': 'sales.qioptiq@excelitas.com', 'phone': None}"
111,Qioptiq Photonics GmbH & Co.KG,https://www.qioptiq-shop.com,"{'email': 'sales.qioptiq@excelitas.com', 'phone': None}"
112,RADIMED Gesellschaft für Kommunikationsdienstleistungen und Medizintechnik mbH,https://radimed.de,"{'email': None, 'phone': None}"
113,RAPA Healthcare GmbH & Co. KG ,https://www.rapa.com,"{'email': 'info@rapa.com', 'phone': None}"
114,RAYLYTIC GmbH,https://www.raylytic.com,"{'email': None, 'phone': None}"
115,ResMed Deutschland GmbH,https://www.resmed.de,"{'email': None, 'phone': None}"
116,ResMed GmbH & Co.KG,https://www.resmed.ch,"{'email': None, 'phone': None}"
117,Richard Wolf GmbH,https://www.richard-wolf.com,"{'email': 'webadmin@richard-wolf.com', 'phone': '+49 7043 35-0'}"
118,Rudolf Riester GmbH & Co.KG,https://riester.de,"{'email': None, 'phone': None}"
119,S.I.E – System Industrie Electronic GmbH,https://www.sie.at,"{'email': 'info@sie.at', 'phone': '+43 55 7789 900'}"
120,S1 Optics GmbH,https://www.s1optics.de,"{'email': 'info@s1optics.com', 'phone': None}"
121,SALVIA medical GmbH & Co. KG,https://www.spectaris.de,"{'email': 'info@spectaris.de', 'phone': '+49 (0) 30 41 40 21-12'}"
122,Sapio Life GmbH & Co. KG,https://www.sapiolife.de,"{'email': None, 'phone': None}"
123,Sartorius Lab Instruments GmbH & Co. KG,https://www.sartorius.com,"{'email': None, 'phone': None}"
124,Schmidt + Haensch GmbH & Co.,https://schmidt-haensch.com,"{'email': 'sales@schmidt-haensch.de', 'phone': None}"
125,SCHMITZ u. Söhne GmbH & Co. KG,https://schmitz-soehne.com,"{'email': None, 'phone': '+49 (0)2377 84 0'}"
126,SCHWIND eye-tech-solutions GmbH,https://www.eye-tech-solutions.com,"{'email': None, 'phone': None}"
127,seca GmbH & Co.KG,https://www.seca.com,"{'email': None, 'phone': None}"
128,Semeda GmbH,https://www.semeda.de,"{'email': None, 'phone': None}"
129,SomnoMed® Germany GmbH ,https://somnomed.com,"{'email': 'infousa@somnomed.com', 'phone': None}"
130,Sonovum AG,https://www.sonovum.de,"{'email': 'info@sonovum.de', 'phone': '+49 341 39299510'}"
131,Söring GmbH,https://www.soering.de,"{'email': None, 'phone': None}"
132,Stiegelmeyer GmbH & Co. KG,https://www.stiegelmeyer.com,"{'email': None, 'phone': None}"
133,Sutter Medizintechnik GmbH,https://www.sutter-med.de,"{'email': None, 'phone': None}"
134,Swiss Optic AG,https://www.swissoptic.ag,"{'email': None, 'phone': None}"
135,Temena GmbH,https://temena.com,"{'email': 'temena@temena.com', 'phone': None}"
136,Topcon Europe Medical B.V.,https://topconhealthcare.eu,"{'email': None, 'phone': None}"
137,UniTransferKlinik Lübeck,https://www.unitransferklinik.de,"{'email': None, 'phone': None}"
138,VISIONIX DEUTSCHLAND GMBH,https://www.visionix.com,"{'email': None, 'phone': '+33 2 32 98 91 32'}"
139,VISTEC AG Vision Technologies,https://vistec-support.de,"{'email': None, 'phone': None}"
140,VitalAire GmbH Niederlassung Bremen,https://www.spectaris.de,"{'email': 'info@spectaris.de', 'phone': '+49 (0) 30 41 40 21-12'}"
141,Vivisol Deutschland GmbH,https://www.vivisol.de,"{'email': None, 'phone': None}"
142,Walter H. Becker GmbH Metallwarenfabrik,https://www.becker-triftern.de,"{'email': 'info@becker-triftern.de', 'phone': None}"
143,WEINMANN Emergency Medical Technology GmbH + Co. KG,https://www.weinmann-emergency.com,"{'email': 'website@weinmann-emt.de', 'phone': None}"
144,WILAmed GmbH,http://www.wilamed.de,"{'email': 'info@wilamed.com', 'phone': None}"
145,WILD Gruppe,https://www.wild.at,"{'email': 'sales@wild.at', 'phone': '+43 4232 2527 0'}"
146,Xenios AG,https://www.xenios-ag.com,"{'email': None, 'phone': None}"
